Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
202100000454,14,11,2021,07:05,4,64,64445,2,1,2,7,GUILHEM,"43,3204047836"," -0,3351634741"
202100000692,29,4,2021,12:00,1,13,13001,2,1,2,1,INFIRMERIES (AV DES),"43,5236400000","5,4307500000"
202100000749,31,12,2021,06:45,5,91,91667,2,1,1,1,CORBEIL (ROUTE DE),"48,6571100000","2,3391900000"
202100001003,14,12,2021,17:15,5,54,54357,2,3,1,6,METZ (ROUTE DE),"48,7074762663","6,1666812301"
202100001035,24,12,2021,18:05,2,24,24102,1,1,1,1,RIBERAC (ROUTE DE),"45,1963200000","0,6516800000"
202100001255,26,12,2021,23:30,3,92,92036,1,1,2,6,A86,"48,9341712069","2,2714914867"
202100002137,19,12,2021,10:45,1,43,43251,2,1,9,2,46-48 avenue de Vals,"45,0356100000","3,8812900000"
202100002823,17,12,2021,17:20,3,87,87181,1,1,9,6,Route de Poperdu,"46,0573150000","1,4564230000"
202100002861,16,12,2021,16:45,2,68,68278,2,3,8,6,Avenue du GÃ©nÃ©ral de Gaulle,"47,7483850000","7,4046190000"
202100003314,11,12,2021,13:00,1,35,35240,1,3,1,2,rn 24 le rheu,"48,1015420000"," -1,7537360000"
202100004856,4,12,2021,16:00,2,44,44212,1,2,1,3,La Vergne,"47,1490860000"," -1,2440300000"
202100005232,29,11,2021,23:30,5,95,95019,2,1,1,1,VAILLANT CHARLES (AVENUE),"48,9850400000","2,4022200000"
202100005618,29,11,2021,05:15,3,42,42186,1,1,1,6,A47,"45,5405100000","4,6429200000"
202100005700,30,11,2021,06:30,3,13,13114,1,1,1,2,"Autoroute A8, pk 007+860","43,5523620000","5,3137730000"
202100006045,28,11,2021,15:40,1,85,85008,1,1,8,2,D760,"46,6564910000"," -1,4837340000"
202100007364,19,11,2021,00:20,5,93,93048,2,2,1,1,PAUL VAILLANT COUTURIER (BOULEVARD),"48,8626300000","2,4416000000"
202100007912,17,11,2021,07:50,2,77,77360,1,1,5,1,D402,"48,7437070000","2,9981400000"
202100008442,10,11,2021,10:40,1,971,97113,1,1,1,2,BAS DU FORT,"16,2216500000"," -61,5224600000"
202100009794,2,11,2021,23:00,5,06,06083,2,4,1,3,GREVILLE (RUE HENRI),"43,7770240000","7,5028890000"
202100009981,19,10,2021,15:20,1,33,33438,1,1,1,4,,"44,5709040000"," -0,2468600000"
202100010025,30,10,2021,18:45,5,25,25031,2,1,2,2,BELFORT (RUE DE),"47,4831350000","6,8404460000"
202100010050,31,10,2021,20:45,5,93,93073,2,6,2,6,GARE (PLACE DE LA),"48,9455200000","2,5667000000"
202100010249,30,10,2021,08:00,5,92,92036,1,1,2,7,A86,"48,9346445248","2,2690583247"
202100010618,28,10,2021,15:00,1,03,03254,2,3,1,1,7 Route de Briailles,"46,3036450000","3,3028830000"
202100010745,27,10,2021,05:45,5,94,94021,2,1,1,3,Rue dâAgen,"48,7621200000","2,3495800000"
202100011044,25,10,2021,05:20,3,974,97409,2,6,1,3,DE LA GARE(RUE)," -20,9619600000","55,6569100000"
202100011315,7,10,2021,17:40,1,69,69204,2,1,1,6,CHARLES LUIZET (R),"45,6982495822","4,7904309010"
202100012694,17,10,2021,11:00,1,92,92050,2,1,1,6,CASTEL MARLY RUE DU,"48,8891301295","2,1953324229"
202100014564,5,10,2021,16:50,1,90,90010,2,1,1,3,LECLERC (AVENUE),"47,6363400000","6,8376600000"
202100017320,25,9,2021,17:55,1,38,38190,1,1,1,7,allÃ©e des champagnes hieres sur amby,"45,8118300000","5,2956300000"
202100017511,22,9,2021,15:25,1,93,93066,2,1,7,3,Rue Paul Eluard,"48,9399500000","2,3449800000"
202100018310,16,9,2021,14:23,1,87,87085,2,9,2,7,QUEUILLE (PLACE HENRI),"45,8150200000","1,2698400000"
202100018580,16,9,2021,08:05,2,31,31149,2,1,1,6,BD GENERAL DE GAULLE,"43,6106500000","1,3293700000"
202100018939,10,9,2021,17:16,1,63,63113,2,2,1,3,DE GAULLE/ Mitterrand,"45,7716295903","3,0832176589"
202100020574,6,9,2021,06:30,2,94,94078,2,2,1,1,Place Hector Berlioz,"48,7463600000","2,4465600000"
202100021855,29,8,2021,11:40,1,44,44069,1,1,1,6,route de Mesquer,"47,3411400000"," -2,4380940000"
202100021924,29,8,2021,04:00,5,59,59360,2,2,2,3,MOCQUET GUY RUE,"50,6067300000","3,0170600000"
202100021976,28,8,2021,23:37,5,71,71310,2,6,1,6,avenue de la rÃ©publique Rd 28 face au nÂ° 42,"46,7510855796","4,4681878438"
202100023496,20,8,2021,19:50,1,29,29106,1,1,1,6,Ti Feunteun,"48,1198060000"," -4,0740980000"
202100023601,17,8,2021,16:30,1,14,14437,2,1,1,6,Rue Calmette,"49,1802800000"," -0,3168900000"
202100023754,17,8,2021,20:45,2,93,93001,2,1,1,1,MADELEINE VIONNET(RUE),"48,9047900000","2,3758130000"
202100024228,13,8,2021,15:10,1,78,78291,1,1,1,2,A13,"48,9707750000","1,7334630000"
202100025071,7,8,2021,18:50,1,34,34213,1,3,1,3,RD2e5,"43,4717800000","3,6797550000"
202100025091,6,8,2021,19:25,1,67,67365,1,1,1,4,M35,"48,5350400000","7,7022500000"
202100026022,2,8,2021,15:40,1,31,31547,1,2,1,3,Les Aujoulets,"43,5042390000","1,2483000000"
202100026598,28,7,2021,09:00,1,92,92072,1,1,1,3,N118,"48,8166709546","2,2156290262"
202100026712,28,7,2021,18:40,1,76,76603,1,5,1,3,Route de Bolbec,"49,6431890000","0,4634910000"
202100026898,28,7,2021,17:50,1,53,53219,1,3,1,7,D5,"48,3190850000"," -0,7004320000"
202100026938,27,7,2021,14:45,1,77,77249,1,1,2,6,RN104,"48,7489851927","2,6137740302"
202100027582,22,7,2021,19:50,1,94,94017,2,1,1,3,Rue Jean JaurÃ¨s,"48,8149934176","2,5067496300"
202100027614,22,7,2021,16:20,1,32,32208,1,4,1,1,Lescharties,"43,9536370000","0,6510900000"
202100028000,21,7,2021,15:00,1,62,62845,1,2,1,3,D215,"50,6247740000","1,6888260000"
202100028417,18,7,2021,17:10,1,73,73192,1,1,1,2,D912 Le Cholet,"45,6673700000","6,0422870000"
202100028649,16,7,2021,16:40,1,33,33063,2,1,1,2,Rue de Bethmann,"44,8227200000"," -0,6032400000"
202100028930,14,7,2021,17:00,1,30,30130,1,1,1,7,D 906,"44,3118420000","3,9682960000"
202100029024,14,7,2021,21:20,5,68,68082,2,1,3,7,26 Faubourg de Belfort,"47,8602970000","7,3437700000"
202100031360,27,6,2021,18:10,1,68,68068,1,4,1,3,D419,"47,6304050000","7,1380230000"
202100031972,26,6,2021,15:35,1,45,45234,2,1,1,6,Quai du Fort des Tourelles,"47,8947800000","1,9067200000"
202100032178,26,6,2021,17:30,1,38,38269,2,1,1,6,26 Avenue du Docteur Tagnard,"44,9097070000","5,7932090000"
202100033128,19,6,2021,20:00,1,43,43025,1,1,1,7,Lieu Dit les Bernauds,"45,2418650000","4,0688630000"
202100033141,22,6,2021,13:45,1,49,49129,1,1,1,7,A11,"47,5025040000"," -0,5049200000"
202100033464,19,6,2021,21:45,2,34,34074,2,1,1,7,RD20,"43,4495070000","3,0333850000"
202100035133,12,6,2021,11:20,1,09,09065,1,1,1,7,D46,"42,9035240000","1,3663920000"
202100035342,9,6,2021,17:05,1,93,93066,2,1,1,2,10-20 Avenue Jean Moulin,"48,9414180000","2,3646790000"
202100037290,31,5,2021,18:40,1,75,75112,2,1,1,2,RUE FABRE D EGLANTINE,"48,8471780000","2,3956960000"
202100038676,23,5,2021,19:20,1,51,51027,2,3,1,3,Rue des Guisettes,"49,0322250670","4,6872545136"
202100038962,20,5,2021,12:30,1,75,75116,2,2,1,5,AVENUE MARCEAU,"48,8674480000","2,2992360000"
202100039780,16,5,2021,11:45,1,13,13055,1,1,1,2,A507 sens Aubagne- Marseille,"43,3300700000","5,3941200000"
202100040395,12,5,2021,08:09,1,19,19006,1,1,1,1,RD 102E,"45,5747220000","2,2075440000"
202100042298,23,4,2021,16:40,1,65,65286,2,1,1,1,LAC (CHEMIN DU),"43,1054970000"," -0,0762640000"
202100042585,24,4,2021,18:45,1,64,64102,2,1,1,2,BAB (Boulevard),"43,4960800000"," -1,4853500000"
202100042797,24,4,2021,13:30,1,95,95678,1,1,1,6,RN 184,"49,0717200000","2,2239100000"
202100042869,23,4,2021,12:32,1,51,51454,2,6,1,7,Rue AndrÃ© Chaillot,"49,2878680619","4,0241630699"
202100043406,3,3,2021,11:00,1,976,97611,2,1,1,6,tsoundzou-Mangadzia  Tsoundzou 2 (rue )," -12,8166500000","45,1986600000"
202100044244,12,4,2021,07:20,2,95,95019,2,9,8,6,COUTURIER PAUL VAILLANT (AVENUE),"48,9825830396","2,4211794217"
202100044314,12,4,2021,11:45,1,93,93001,2,1,1,6,DANIELLE CASANOVA (RUE)  59 =>,"48,9173300000","2,3956800000"
202100044790,7,4,2021,12:15,1,69,69259,2,2,1,2,YVES FARGE (BD),"45,6954016647","4,8591274023"
202100045365,1,4,2021,13:20,1,74,74298,2,3,1,3,CHARCOT (RUE J.B.),"46,1883700000","6,2515200000"
202100046128,29,3,2021,14:15,1,13,13005,2,6,1,3,CEINTURE DE CAMPS MAJOR (CHEMIN DE),"43,2965100000","5,5828200000"
202100047096,23,3,2021,08:00,1,973,97304,2,1,2,1,20 Avenue des 2 Lacs,"5,1629550000"," -52,6513490000"
202100047291,20,3,2021,16:00,1,03,03018,1,1,1,7,D35 PK06,"46,2535620000","3,2465460000"
202100047348,19,3,2021,06:35,5,49,49007,2,1,1,2,BEDIER BOULEVARD,"47,4506514590"," -0,5526323554"
202100047472,18,3,2021,14:35,1,69,69383,2,2,1,6,DOCTEUR LONG (DU) (CR),"45,7493656902","4,8840694609"
202100047915,24,2,2021,17:14,1,76,76540,1,1,1,3,,"49,4508600000","1,0574500000"
202100048444,10,3,2021,15:20,1,75,75103,2,2,8,6,RUE DE TURBIGO,"48,8644660000","2,3515520000"
202100049018,7,3,2021,07:00,2,973,97309,2,1,2,7,Route de RÃ©mire,"4,8928130000"," -52,2740060000"
202100050016,25,2,2021,13:40,1,58,58194,2,3,1,3,MARECHAL JUIN,"47,0043600000","3,1538000000"
202100050447,23,2,2021,10:58,1,74,74012,2,2,1,6,RESISTANCE (RUE DE LA),"46,1985320000","6,2521330000"
202100051562,13,2,2021,18:30,3,95,95277,1,1,1,4,AUTOROUTE A3,"48,9715300000","2,4849500000"
202100051865,12,2,2021,07:00,5,07,07323,2,3,1,3,Rue du Moulin de l'Aure,"44,8977940000","4,8192160000"
202100052227,6,2,2021,09:20,1,75,75120,2,1,2,2,ECHANGEUR BAGNOLET,"48,8661389412","2,4128444448"
202100052538,4,2,2021,00:05,5,54,54395,2,3,8,3,CARMES (RUE DES),"48,6924880643","6,1798384465"
202100052755,29,1,2021,13:40,1,91,91521,2,6,1,3,MAINGOT (RUE THEODORE),"48,6592900000","2,4072400000"
202100053827,21,1,2021,17:40,2,69,69389,2,9,2,3,MONTRIBLOUD (DE) (R),"45,7718867869","4,7917685509"
202100054542,18,1,2021,12:21,1,94,94038,2,1,1,2,AUTOROUTE A6A,"48,7773800000","2,3461000000"
202100055322,12,1,2021,12:50,1,34,34172,2,3,1,6,SAINT CLEMENT (AVENUE),"43,6169190000","3,8462400000"
202100056082,6,1,2021,09:40,1,92,92012,2,6,2,7,PONT DE BILLANCOURT (PLACE DU),"48,8251294829","2,2485584972"
202100056261,4,1,2021,09:15,1,37,37261,2,6,2,2,TANNEURS (RUE DES),"47,3954868367","0,6773672971"
202100056334,3,1,2021,13:30,1,69,69290,2,1,1,1,ARSONVAL (D') (R),"45,7008519672","4,9316436052"
202100056459,1,1,2021,03:30,3,47,47239,1,1,1,6,Pontet,"44,4119814193","0,5661145448"
